 Time(s)   T_center   T_surface   dT
    692.14     1062.69     1118.16       55.48
    692.58     1062.88     1118.28       55.40
    693.01     1063.08     1118.40       55.32
    693.45     1063.28     1118.52       55.24
    693.89     1063.48     1118.64       55.16
    694.32     1063.68     1118.75       55.08
    694.76     1063.87     1118.87       55.00
    695.20     1064.07     1118.99       54.92
    695.63     1064.27     1119.11       54.84
    696.07     1064.46     1119.22       54.76
    696.51     1064.66     1119.34       54.68
    696.94     1064.85     1119.46       54.60
    697.38     1065.05     1119.57       54.52
    697.82     1065.24     1119.69       54.45
    698.25     1065.44     1119.81       54.37
    698.69     1065.63     1119.92       54.29
    699.13     1065.83     1120.04       54.21
    699.56     1066.02     1120.15       54.13
    700.00     1066.22     1120.27       54.05
    700.44     1066.41     1120.38       53.97
    700.87     1066.60     1120.50       53.90
    701.31     1066.80     1120.61       53.82
    701.75     1066.99     1120.73       53.74
    702.18     1067.18     1120.84       53.66
    702.62     1067.37     1120.96       53.59
    703.06     1067.56     1121.07       53.51
    703.49     1067.76     1121.19       53.43
    703.93     1067.95     1121.30       53.35
    704.37     1068.14     1121.41       53.28
    704.80     1068.33     1121.53       53.20
    705.24     1068.52     1121.64       53.12
    705.68     1068.71     1121.75       53.05
    706.11     1068.90     1121.87       52.97
    706.55     1069.09     1121.98       52.89
    706.99     1069.28     1122.09       52.82
    707.42     1069.47     1122.21       52.74
    707.86     1069.66     1122.32       52.66
    708.30     1069.84     1122.43       52.59
    708.73     1070.03     1122.54       52.51
    709.17     1070.22     1122.65       52.44
    709.61     1070.41     1122.77       52.36
    710.04     1070.59     1122.88       52.28
    710.48     1070.78     1122.99       52.21
    710.92     1070.97     1123.10       52.13
    711.35     1071.16     1123.21       52.06
    711.79     1071.34     1123.32       51.98
    712.23     1071.53     1123.43       51.91
    712.66     1071.71     1123.55       51.83
    713.10     1071.90     1123.66       51.76
    713.54     1072.08     1123.77       51.68
    713.97     1072.27     1123.88       51.61
    714.41     1072.45     1123.99       51.53
    714.85     1072.64     1124.10       51.46
    715.28     1072.82     1124.21       51.38
    715.72     1073.01     1124.32       51.31
    716.16     1073.19     1124.43       51.23
    716.59     1073.37     1124.53       51.16
    717.03     1073.56     1124.64       51.09
    717.47     1073.74     1124.75       51.01
    717.90     1073.92     1124.86       50.94
    718.34     1074.10     1124.97       50.87
    718.78     1074.29     1125.08       50.79
    719.21     1074.47     1125.19       50.72
    719.65     1074.65     1125.29       50.65
    720.09     1074.83     1125.40       50.57
    720.52     1075.01     1125.51       50.50
    720.96     1075.19     1125.62       50.43
    721.40     1075.37     1125.73       50.35
    721.83     1075.55     1125.83       50.28
    722.27     1075.73     1125.94       50.21
    722.71     1075.91     1126.05       50.13
    723.14     1076.09     1126.15       50.06
    723.58     1076.27     1126.26       49.99
    724.02     1076.45     1126.37       49.92
    724.45     1076.63     1126.47       49.85
    724.89     1076.81     1126.58       49.77
    725.33     1076.99     1126.69       49.70
    725.76     1077.16     1126.79       49.63
    726.20     1077.34     1126.90       49.56
    726.64     1077.52     1127.00       49.49
    727.07     1077.70     1127.11       49.41
    727.51     1077.87     1127.22       49.34
    727.95     1078.05     1127.32       49.27
    728.38     1078.23     1127.43       49.20
    728.82     1078.40     1127.53       49.13
    729.26     1078.58     1127.64       49.06
    729.69     1078.75     1127.74       48.99
    730.13     1078.93     1127.84       48.92
    730.57     1079.10     1127.95       48.85
    731.00     1079.28     1128.05       48.78
    731.44     1079.45     1128.16       48.70
    731.88     1079.63     1128.26       48.63
    732.31     1079.80     1128.36       48.56
    732.75     1079.97     1128.47       48.49
    733.19     1080.15     1128.57       48.42
    733.62     1080.32     1128.68       48.35
    734.06     1080.49     1128.78       48.28
    734.50     1080.67     1128.88       48.21
    734.93     1080.84     1128.98       48.14
    735.37     1081.01     1129.09       48.07
    735.81     1081.18     1129.19       48.01
    736.24     1081.36     1129.29       47.94
    736.68     1081.53     1129.39       47.87
    737.12     1081.70     1129.50       47.80
    737.55     1081.87     1129.60       47.73
    737.99     1082.04     1129.70       47.66
    738.43     1082.21     1129.80       47.59
    738.86     1082.38     1129.90       47.52
    739.30     1082.55     1130.00       47.45
    739.74     1082.72     1130.11       47.38
    740.17     1082.89     1130.21       47.32
    740.61     1083.06     1130.31       47.25
    741.05     1083.23     1130.41       47.18
    741.48     1083.40     1130.51       47.11
    741.92     1083.57     1130.61       47.04
    742.36     1083.74     1130.71       46.97
    742.79     1083.90     1130.81       46.91
    743.23     1084.07     1130.91       46.84
    743.67     1084.24     1131.01       46.77
    744.10     1084.41     1131.11       46.70
    744.54     1084.57     1131.21       46.64
    744.98     1084.74     1131.31       46.57
    745.41     1084.91     1131.41       46.50
    745.85     1085.07     1131.51       46.43
    746.29     1085.24     1131.61       46.37
    746.72     1085.41     1131.71       46.30
    747.16     1085.57     1131.80       46.23
    747.60     1085.74     1131.90       46.17
    748.03     1085.90     1132.00       46.10
    748.47     1086.07     1132.10       46.03
    748.91     1086.23     1132.20       45.97
    749.34     1086.40     1132.30       45.90
    749.78     1086.56     1132.39       45.83
    750.22     1086.72     1132.49       45.77
    750.66     1086.89     1132.59       45.70
    751.09     1087.05     1132.69       45.63
    751.53     1087.22     1132.78       45.57
    751.97     1087.38     1132.88       45.50
    752.40     1087.54     1132.98       45.44
    752.84     1087.70     1133.07       45.37
    753.28     1087.87     1133.17       45.31
    753.71     1088.03     1133.27       45.24
    754.15     1088.19     1133.36       45.17
    754.59     1088.35     1133.46       45.11
    755.02     1088.51     1133.56       45.04
    755.46     1088.67     1133.65       44.98
    755.90     1088.84     1133.75       44.91
    756.33     1089.00     1133.85       44.85
    756.77     1089.16     1133.94       44.78
    757.21     1089.32     1134.04       44.72
    757.64     1089.48     1134.13       44.65
    758.08     1089.64     1134.23       44.59
    758.52     1089.80     1134.32       44.53
    758.95     1089.96     1134.42       44.46
    759.39     1090.12     1134.51       44.40
    759.83     1090.27     1134.61       44.33
    760.26     1090.43     1134.70       44.27
    760.70     1090.59     1134.80       44.20
    761.14     1090.75     1134.89       44.14
    761.57     1090.91     1134.98       44.08
    762.01     1091.07     1135.08       44.01
    762.45     1091.22     1135.17       43.95
    762.88     1091.38     1135.27       43.89
    763.32     1091.54     1135.36       43.82
    763.76     1091.69     1135.45       43.76
    764.19     1091.85     1135.55       43.70
    764.63     1092.01     1135.64       43.63
    765.07     1092.16     1135.73       43.57
    765.50     1092.32     1135.83       43.51
    765.94     1092.47     1135.92       43.44
    766.38     1092.63     1136.01       43.38
    766.81     1092.79     1136.10       43.32
    767.25     1092.94     1136.20       43.26
    767.69     1093.10     1136.29       43.19
    768.12     1093.25     1136.38       43.13
    768.56     1093.40     1136.47       43.07
    769.00     1093.56     1136.56       43.01
    769.43     1093.71     1136.66       42.94
    769.87     1093.87     1136.75       42.88
    770.31     1094.02     1136.84       42.82
    770.74     1094.17     1136.93       42.76
    771.18     1094.33     1137.02       42.70
    771.62     1094.48     1137.11       42.63
    772.05     1094.63     1137.20       42.57
    772.49     1094.78     1137.29       42.51
    772.93     1094.94     1137.38       42.45
    773.36     1095.09     1137.48       42.39
    773.80     1095.24     1137.57       42.33
    774.24     1095.39     1137.66       42.27
    774.67     1095.54     1137.75       42.20
    775.11     1095.69     1137.84       42.14
    775.55     1095.84     1137.93       42.08
    775.98     1095.99     1138.02       42.02
    776.42     1096.14     1138.11       41.96
    776.86     1096.29     1138.19       41.90
    777.29     1096.44     1138.28       41.84
    777.73     1096.59     1138.37       41.78
    778.17     1096.74     1138.46       41.72
    778.60     1096.89     1138.55       41.66
    779.04     1097.04     1138.64       41.60
    779.48     1097.19     1138.73       41.54
    779.91     1097.34     1138.82       41.48
    780.35     1097.49     1138.91       41.42
    780.79     1097.64     1138.99       41.36
    781.22     1097.78     1139.08       41.30
    781.66     1097.93     1139.17       41.24
    782.10     1098.08     1139.26       41.18
    782.53     1098.23     1139.35       41.12
    782.97     1098.37     1139.43       41.06
    783.41     1098.52     1139.52       41.00
    783.84     1098.67     1139.61       40.94
    784.28     1098.81     1139.70       40.88
    784.72     1098.96     1139.78       40.82
    785.15     1099.11     1139.87       40.76
    785.59     1099.25     1139.96       40.70
    786.03     1099.40     1140.04       40.65
    786.46     1099.54     1140.13       40.59
    786.90     1099.69     1140.22       40.53
    787.34     1099.83     1140.30       40.47
    787.77     1099.98     1140.39       40.41
    788.21     1100.12     1140.48       40.35
    788.65     1100.27     1140.56       40.29
    789.08     1100.41     1140.65       40.24
    789.52     1100.56     1140.73       40.18
    789.96     1100.70     1140.82       40.12
    790.39     1100.84     1140.91       40.06
    790.83     1100.99     1140.99       40.00
    791.27     1101.13     1141.08       39.95
    791.70     1101.27     1141.16       39.89
    792.14     1101.42     1141.25       39.83
    792.58     1101.56     1141.33       39.77
    793.01     1101.70     1141.42       39.72
    793.45     1101.84     1141.50       39.66
    793.89     1101.99     1141.59       39.60
    794.32     1102.13     1141.67       39.54
    794.76     1102.27     1141.75       39.49
    795.20     1102.41     1141.84       39.43
    795.63     1102.55     1141.92       39.37
    796.07     1102.69     1142.01       39.32
    796.51     1102.83     1142.09       39.26
    796.94     1102.97     1142.17       39.20
    797.38     1103.11     1142.26       39.15
    797.82     1103.25     1142.34       39.09
    798.25     1103.39     1142.43       39.03
    798.69     1103.53     1142.51       38.98
    799.13     1103.67     1142.59       38.92
    799.56     1103.81     1142.67       38.86
    800.00     1103.95     1142.76       38.81
    800.44     1104.09     1142.84       38.75
    800.87     1104.23     1142.92       38.69
    801.31     1104.37     1143.01       38.64
    801.75     1104.51     1143.09       38.58
    802.18     1104.64     1143.17       38.53
    802.62     1104.78     1143.25       38.47
    803.06     1104.92     1143.33       38.42
    803.49     1105.06     1143.42       38.36
    803.93     1105.19     1143.50       38.30
    804.37     1105.33     1143.58       38.25
    804.80     1105.47     1143.66       38.19
    805.24     1105.60     1143.74       38.14
    805.68     1105.74     1143.82       38.08
    806.11     1105.88     1143.91       38.03
    806.55     1106.01     1143.99       37.97
    806.99     1106.15     1144.07       37.92
    807.42     1106.28     1144.15       37.86
    807.86     1106.42     1144.23       37.81
    808.30     1106.56     1144.31       37.75
    808.73     1106.69     1144.39       37.70
    809.17     1106.83     1144.47       37.65
    809.61     1106.96     1144.55       37.59
    810.04     1107.10     1144.63       37.54
    810.48     1107.23     1144.71       37.48
    810.92     1107.36     1144.79       37.43
    811.35     1107.50     1144.87       37.37
    811.79     1107.63     1144.95       37.32
    812.23     1107.76     1145.03       37.27
    812.66     1107.90     1145.11       37.21
    813.10     1108.03     1145.19       37.16
    813.54     1108.16     1145.27       37.10
    813.97     1108.30     1145.35       37.05
    814.41     1108.43     1145.43       37.00
    814.85     1108.56     1145.51       36.94
    815.28     1108.69     1145.58       36.89
    815.72     1108.83     1145.66       36.84
    816.16     1108.96     1145.74       36.78
    816.59     1109.09     1145.82       36.73
    817.03     1109.22     1145.90       36.68
    817.47     1109.35     1145.98       36.62
    817.90     1109.48     1146.05       36.57
    818.34     1109.61     1146.13       36.52
    818.78     1109.75     1146.21       36.47
    819.21     1109.88     1146.29       36.41
    819.65     1110.01     1146.37       36.36
    820.09     1110.14     1146.44       36.31
    820.52     1110.27     1146.52       36.26
    820.96     1110.40     1146.60       36.20
    821.40     1110.53     1146.68       36.15
    821.83     1110.65     1146.75       36.10
    822.27     1110.78     1146.83       36.05
    822.71     1110.91     1146.91       35.99
    823.14     1111.04     1146.98       35.94
    823.58     1111.17     1147.06       35.89
    824.02     1111.30     1147.14       35.84
    824.45     1111.43     1147.21       35.79
    824.89     1111.56     1147.29       35.73
    825.33     1111.68     1147.37       35.68
    825.76     1111.81     1147.44       35.63
    826.20     1111.94     1147.52       35.58
    826.64     1112.07     1147.59       35.53
    827.07     1112.19     1147.67       35.48
    827.51     1112.32     1147.75       35.43
    827.95     1112.45     1147.82       35.37
    828.38     1112.57     1147.90       35.32
    828.82     1112.70     1147.97       35.27
    829.26     1112.83     1148.05       35.22
    829.69     1112.95     1148.12       35.17
    830.13     1113.08     1148.20       35.12
    830.57     1113.20     1148.27       35.07
    831.00     1113.33     1148.35       35.02
    831.44     1113.45     1148.42       34.97
    831.88     1113.58     1148.50       34.92
    832.31     1113.70     1148.57       34.87
    832.75     1113.83     1148.64       34.82
    833.19     1113.95     1148.72       34.77
    833.62     1114.08     1148.79       34.71
    834.06     1114.20     1148.87       34.66
    834.50     1114.33     1148.94       34.61
    834.93     1114.45     1149.02       34.56
    835.37     1114.57     1149.09       34.51
    835.81     1114.70     1149.16       34.46
    836.24     1114.82     1149.24       34.41
    836.68     1114.94     1149.31       34.37
    837.12     1115.07     1149.38       34.32
    837.55     1115.19     1149.46       34.27
    837.99     1115.31     1149.53       34.22
    838.43     1115.44     1149.60       34.17
    838.86     1115.56     1149.67       34.12
    839.30     1115.68     1149.75       34.07
    839.74     1115.80     1149.82       34.02
    840.17     1115.92     1149.89       33.97
    840.61     1116.04     1149.97       33.92
    841.05     1116.17     1150.04       33.87
    841.48     1116.29     1150.11       33.82
    841.92     1116.41     1150.18       33.77
    842.36     1116.53     1150.25       33.72
    842.79     1116.65     1150.33       33.68
    843.23     1116.77     1150.40       33.63
    843.67     1116.89     1150.47       33.58
    844.10     1117.01     1150.54       33.53
    844.54     1117.13     1150.61       33.48
    844.98     1117.25     1150.68       33.43
    845.41     1117.37     1150.76       33.38
    845.85     1117.49     1150.83       33.34
    846.29     1117.61     1150.90       33.29
    846.72     1117.73     1150.97       33.24
    847.16     1117.85     1151.04       33.19
    847.60     1117.97     1151.11       33.14
    848.03     1118.08     1151.18       33.10
    848.47     1118.20     1151.25       33.05
    848.91     1118.32     1151.32       33.00
    849.34     1118.44     1151.39       32.95
    849.78     1118.56     1151.46       32.91
    850.22     1118.68     1151.53       32.86
    850.66     1118.79     1151.60       32.81
    851.09     1118.91     1151.67       32.76
    851.53     1119.03     1151.74       32.72
    851.97     1119.14     1151.81       32.67
    852.40     1119.26     1151.88       32.62
    852.84     1119.38     1151.95       32.57
    853.28     1119.49     1152.02       32.53
    853.71     1119.61     1152.09       32.48
    854.15     1119.73     1152.16       32.43
    854.59     1119.84     1152.23       32.39
    855.02     1119.96     1152.30       32.34
    855.46     1120.08     1152.37       32.29
    855.90     1120.19     1152.44       32.25
    856.33     1120.31     1152.50       32.20
    856.77     1120.42     1152.57       32.15
    857.21     1120.54     1152.64       32.11
    857.64     1120.65     1152.71       32.06
    858.08     1120.77     1152.78       32.01
    858.52     1120.88     1152.85       31.97
    858.95     1121.00     1152.92       31.92
    859.39     1121.11     1152.98       31.87
    859.83     1121.22     1153.05       31.83
    860.26     1121.34     1153.12       31.78
    860.70     1121.45     1153.19       31.74
    861.14     1121.56     1153.25       31.69
    861.57     1121.68     1153.32       31.64
    862.01     1121.79     1153.39       31.60
    862.45     1121.90     1153.46       31.55
    862.88     1122.02     1153.52       31.51
    863.32     1122.13     1153.59       31.46
    863.76     1122.24     1153.66       31.42
    864.19     1122.36     1153.73       31.37
    864.63     1122.47     1153.79       31.33
    865.07     1122.58     1153.86       31.28
    865.50     1122.69     1153.93       31.23
    865.94     1122.80     1153.99       31.19
    866.38     1122.91     1154.06       31.14
    866.81     1123.03     1154.13       31.10
    867.25     1123.14     1154.19       31.05
    867.69     1123.25     1154.26       31.01
    868.12     1123.36     1154.32       30.96
    868.56     1123.47     1154.39       30.92
    869.00     1123.58     1154.46       30.88
    869.43     1123.69     1154.52       30.83
    869.87     1123.80     1154.59       30.79
    870.31     1123.91     1154.65       30.74
    870.74     1124.02     1154.72       30.70
    871.18     1124.13     1154.79       30.65
    871.62     1124.24     1154.85       30.61
    872.05     1124.35     1154.92       30.56
    872.49     1124.46     1154.98       30.52
    872.93     1124.57     1155.05       30.48
    873.36     1124.68     1155.11       30.43
    873.80     1124.79     1155.18       30.39
    874.24     1124.90     1155.24       30.34
    874.67     1125.01     1155.31       30.30
    875.11     1125.11     1155.37       30.26
    875.55     1125.22     1155.43       30.21
    875.98     1125.33     1155.50       30.17
    876.42     1125.44     1155.56       30.13
    876.86     1125.55     1155.63       30.08
    877.29     1125.65     1155.69       30.04
    877.73     1125.76     1155.76       29.99
    878.17     1125.87     1155.82       29.95
    878.60     1125.98     1155.88       29.91
    879.04     1126.08     1155.95       29.86
    879.48     1126.19     1156.01       29.82
    879.91     1126.30     1156.07       29.78
    880.35     1126.40     1156.14       29.74
    880.79     1126.51     1156.20       29.69
    881.22     1126.62     1156.27       29.65
    881.66     1126.72     1156.33       29.61
    882.10     1126.83     1156.39       29.56
    882.53     1126.93     1156.45       29.52
    882.97     1127.04     1156.52       29.48
    883.41     1127.14     1156.58       29.44
    883.84     1127.25     1156.64       29.39
    884.28     1127.36     1156.71       29.35
    884.72     1127.46     1156.77       29.31
    885.15     1127.57     1156.83       29.27
    885.59     1127.67     1156.89       29.22
    886.03     1127.77     1156.96       29.18
    886.46     1127.88     1157.02       29.14
    886.90     1127.98     1157.08       29.10
    887.34     1128.09     1157.14       29.05
    887.77     1128.19     1157.20       29.01
    888.21     1128.30     1157.27       28.97
    888.65     1128.40     1157.33       28.93
    889.08     1128.50     1157.39       28.89
    889.52     1128.61     1157.45       28.85
    889.96     1128.71     1157.51       28.80
    890.39     1128.81     1157.57       28.76
    890.83     1128.92     1157.64       28.72
    891.27     1129.02     1157.70       28.68
    891.70     1129.12     1157.76       28.64
    892.14     1129.22     1157.82       28.60
    892.58     1129.33     1157.88       28.55
    893.01     1129.43     1157.94       28.51
    893.45     1129.53     1158.00       28.47
    893.89     1129.63     1158.06       28.43
    894.32     1129.73     1158.12       28.39
    894.76     1129.83     1158.18       28.35
    895.20     1129.94     1158.24       28.31
    895.63     1130.04     1158.30       28.27
    896.07     1130.14     1158.36       28.23
    896.51     1130.24     1158.42       28.19
    896.94     1130.34     1158.49       28.14
    897.38     1130.44     1158.55       28.10
    897.82     1130.54     1158.61       28.06
    898.25     1130.64     1158.66       28.02
    898.69     1130.74     1158.72       27.98
    899.13     1130.84     1158.78       27.94
    899.56     1130.94     1158.84       27.90
    900.00     1131.04     1158.90       27.86
    900.44     1131.14     1158.96       27.82
    900.87     1131.24     1159.02       27.78
    901.31     1131.34     1159.08       27.74
    901.75     1131.44     1159.14       27.70
    902.18     1131.54     1159.20       27.66
    902.62     1131.64     1159.26       27.62
    903.06     1131.74     1159.32       27.58
    903.49     1131.84     1159.38       27.54
    903.93     1131.93     1159.44       27.50
    904.37     1132.03     1159.49       27.46
    904.80     1132.13     1159.55       27.42
    905.24     1132.23     1159.61       27.38
    905.68     1132.33     1159.67       27.34
    906.11     1132.43     1159.73       27.30
    906.55     1132.52     1159.79       27.26
    906.99     1132.62     1159.84       27.22
    907.42     1132.72     1159.90       27.18
    907.86     1132.82     1159.96       27.14
    908.30     1132.91     1160.02       27.11
    908.73     1133.01     1160.08       27.07
    909.17     1133.11     1160.13       27.03
    909.61     1133.20     1160.19       26.99
    910.04     1133.30     1160.25       26.95
    910.48     1133.40     1160.31       26.91
    910.92     1133.49     1160.36       26.87
    911.35     1133.59     1160.42       26.83
    911.79     1133.68     1160.48       26.79
    912.23     1133.78     1160.54       26.75
    912.66     1133.88     1160.59       26.72
    913.10     1133.97     1160.65       26.68
    913.54     1134.07     1160.71       26.64
    913.97     1134.16     1160.76       26.60
    914.41     1134.26     1160.82       26.56
    914.85     1134.35     1160.88       26.52
    915.28     1134.45     1160.93       26.48
    915.72     1134.54     1160.99       26.45
    916.16     1134.64     1161.05       26.41
    916.59     1134.73     1161.10       26.37
    917.03     1134.83     1161.16       26.33
    917.47     1134.92     1161.21       26.29
    917.90     1135.01     1161.27       26.26
    918.34     1135.11     1161.33       26.22
    918.78     1135.20     1161.38       26.18
    919.21     1135.30     1161.44       26.14
    919.65     1135.39     1161.49       26.10
    920.09     1135.48     1161.55       26.07
    920.52     1135.58     1161.61       26.03
    920.96     1135.67     1161.66       25.99
    921.40     1135.76     1161.72       25.95
    921.83     1135.86     1161.77       25.92
    922.27     1135.95     1161.83       25.88
    922.71     1136.04     1161.88       25.84
    923.14     1136.13     1161.94       25.80
    923.58     1136.23     1161.99       25.77
    924.02     1136.32     1162.05       25.73
    924.45     1136.41     1162.10       25.69
    924.89     1136.50     1162.16       25.66
    925.33     1136.59     1162.21       25.62
    925.76     1136.69     1162.27       25.58
    926.20     1136.78     1162.32       25.54
    926.64     1136.87     1162.38       25.51
    927.07     1136.96     1162.43       25.47
    927.51     1137.05     1162.48       25.43
    927.95     1137.14     1162.54       25.40
    928.38     1137.23     1162.59       25.36
    928.82     1137.32     1162.65       25.32
    929.26     1137.41     1162.70       25.29
    929.69     1137.50     1162.75       25.25
    930.13     1137.60     1162.81       25.21
    930.57     1137.69     1162.86       25.18
    931.00     1137.78     1162.92       25.14
    931.44     1137.87     1162.97       25.10
    931.88     1137.96     1163.02       25.07
    932.31     1138.05     1163.08       25.03
    932.75     1138.13     1163.13       25.00
    933.19     1138.22     1163.18       24.96
    933.62     1138.31     1163.24       24.92
    934.06     1138.40     1163.29       24.89
    934.50     1138.49     1163.34       24.85
    934.93     1138.58     1163.40       24.82
    935.37     1138.67     1163.45       24.78
    935.81     1138.76     1163.50       24.74
    936.24     1138.85     1163.55       24.71
    936.68     1138.94     1163.61       24.67
    937.12     1139.02     1163.66       24.64
    937.55     1139.11     1163.71       24.60
    937.99     1139.20     1163.76       24.57
    938.43     1139.29     1163.82       24.53
    938.86     1139.38     1163.87       24.49
    939.30     1139.46     1163.92       24.46
    939.74     1139.55     1163.97       24.42
    940.17     1139.64     1164.03       24.39
    940.61     1139.73     1164.08       24.35
    941.05     1139.81     1164.13       24.32
    941.48     1139.90     1164.18       24.28
    941.92     1139.99     1164.23       24.25
    942.36     1140.07     1164.29       24.21
    942.79     1140.16     1164.34       24.18
    943.23     1140.25     1164.39       24.14
    943.67     1140.33     1164.44       24.11
    944.10     1140.42     1164.49       24.07
    944.54     1140.51     1164.54       24.04
    944.98     1140.59     1164.59       24.00
    945.41     1140.68     1164.65       23.97
    945.85     1140.76     1164.70       23.93
    946.29     1140.85     1164.75       23.90
    946.72     1140.93     1164.80       23.86
    947.16     1141.02     1164.85       23.83
    947.60     1141.10     1164.90       23.80
    948.03     1141.19     1164.95       23.76
    948.47     1141.27     1165.00       23.73
    948.91     1141.36     1165.05       23.69
    949.34     1141.44     1165.10       23.66
    949.78     1141.53     1165.15       23.62
    950.22     1141.61     1165.20       23.59
    950.66     1141.70     1165.25       23.56
    951.09     1141.78     1165.30       23.52
    951.53     1141.87     1165.35       23.49
    951.97     1141.95     1165.40       23.45
    952.40     1142.03     1165.45       23.42
    952.84     1142.12     1165.50       23.39
    953.28     1142.20     1165.55       23.35
    953.71     1142.29     1165.60       23.32
    954.15     1142.37     1165.65       23.28
    954.59     1142.45     1165.70       23.25
    955.02     1142.54     1165.75       23.22
    955.46     1142.62     1165.80       23.18
    955.90     1142.70     1165.85       23.15
    956.33     1142.78     1165.90       23.12
    956.77     1142.87     1165.95       23.08
    957.21     1142.95     1166.00       23.05
    957.64     1143.03     1166.05       23.02
    958.08     1143.12     1166.10       22.98
    958.52     1143.20     1166.15       22.95
    958.95     1143.28     1166.20       22.92
    959.39     1143.36     1166.25       22.88
    959.83     1143.44     1166.29       22.85
    960.26     1143.53     1166.34       22.82
    960.70     1143.61     1166.39       22.78
    961.14     1143.69     1166.44       22.75
    961.57     1143.77     1166.49       22.72
    962.01     1143.85     1166.54       22.69
    962.45     1143.93     1166.59       22.65
    962.88     1144.01     1166.63       22.62
    963.32     1144.09     1166.68       22.59
    963.76     1144.18     1166.73       22.55
    964.19     1144.26     1166.78       22.52
    964.63     1144.34     1166.83       22.49
    965.07     1144.42     1166.87       22.46
    965.50     1144.50     1166.92       22.42
    965.94     1144.58     1166.97       22.39
    966.38     1144.66     1167.02       22.36
    966.81     1144.74     1167.07       22.33
    967.25     1144.82     1167.11       22.30
    967.69     1144.90     1167.16       22.26
    968.12     1144.98     1167.21       22.23
    968.56     1145.06     1167.26       22.20
    969.00     1145.14     1167.30       22.17
    969.43     1145.22     1167.35       22.13
    969.87     1145.29     1167.40       22.10
    970.31     1145.37     1167.44       22.07
    970.74     1145.45     1167.49       22.04
    971.18     1145.53     1167.54       22.01
    971.62     1145.61     1167.59       21.98
    972.05     1145.69     1167.63       21.94
    972.49     1145.77     1167.68       21.91
    972.93     1145.85     1167.73       21.88
    973.36     1145.92     1167.77       21.85
    973.80     1146.00     1167.82       21.82
    974.24     1146.08     1167.87       21.79
    974.67     1146.16     1167.91       21.75
    975.11     1146.24     1167.96       21.72
    975.55     1146.31     1168.00       21.69
    975.98     1146.39     1168.05       21.66
    976.42     1146.47     1168.10       21.63
    976.86     1146.55     1168.14       21.60
    977.29     1146.62     1168.19       21.57
    977.73     1146.70     1168.24       21.53
    978.17     1146.78     1168.28       21.50
    978.60     1146.86     1168.33       21.47
    979.04     1146.93     1168.37       21.44
    979.48     1147.01     1168.42       21.41
    979.91     1147.09     1168.46       21.38
    980.35     1147.16     1168.51       21.35
    980.79     1147.24     1168.56       21.32
    981.22     1147.31     1168.60       21.29
    981.66     1147.39     1168.65       21.26
    982.10     1147.47     1168.69       21.22
    982.53     1147.54     1168.74       21.19
    982.97     1147.62     1168.78       21.16
    983.41     1147.69     1168.83       21.13
    983.84     1147.77     1168.87       21.10
    984.28     1147.85     1168.92       21.07
    984.72     1147.92     1168.96       21.04
    985.15     1148.00     1169.01       21.01
    985.59     1148.07     1169.05       20.98
    986.03     1148.15     1169.10       20.95
    986.46     1148.22     1169.14       20.92
    986.90     1148.30     1169.19       20.89
    987.34     1148.37     1169.23       20.86
    987.77     1148.45     1169.28       20.83
    988.21     1148.52     1169.32       20.80
    988.65     1148.59     1169.36       20.77
    989.08     1148.67     1169.41       20.74
    989.52     1148.74     1169.45       20.71
    989.96     1148.82     1169.50       20.68
    990.39     1148.89     1169.54       20.65
    990.83     1148.97     1169.58       20.62
    991.27     1149.04     1169.63       20.59
    991.70     1149.11     1169.67       20.56
    992.14     1149.19     1169.72       20.53
    992.58     1149.26     1169.76       20.50
    993.01     1149.33     1169.80       20.47
    993.45     1149.41     1169.85       20.44
    993.89     1149.48     1169.89       20.41
    994.32     1149.55     1169.93       20.38
    994.76     1149.63     1169.98       20.35
    995.20     1149.70     1170.02       20.32
    995.63     1149.77     1170.07       20.29
    996.07     1149.84     1170.11       20.26
    996.51     1149.92     1170.15       20.24
    996.94     1149.99     1170.19       20.21
    997.38     1150.06     1170.24       20.18
    997.82     1150.13     1170.28       20.15
    998.25     1150.21     1170.32       20.12
    998.69     1150.28     1170.37       20.09
    999.13     1150.35     1170.41       20.06
    999.56     1150.42     1170.45       20.03
 dTmax =   379.32648172298889     
