 Time(s)   T_center   T_surface   dT
    107.86      261.12      627.72      366.60
    108.30      262.32      628.61      366.28
    108.73      263.52      629.49      365.97
    109.17      264.73      630.37      365.65
    109.61      265.93      631.26      365.33
    110.04      267.13      632.13      365.00
    110.48      268.34      633.01      364.67
    110.92      269.54      633.89      364.35
    111.35      270.75      634.76      364.01
    111.79      271.95      635.63      363.68
    112.23      273.15      636.50      363.35
    112.66      274.36      637.37      363.01
    113.10      275.56      638.23      362.67
    113.54      276.77      639.10      362.33
    113.97      277.97      639.96      361.99
    114.41      279.18      640.82      361.64
    114.85      280.38      641.68      361.29
    115.28      281.59      642.53      360.94
    115.72      282.79      643.38      360.59
    116.16      284.00      644.24      360.24
    116.59      285.20      645.09      359.89
    117.03      286.40      645.93      359.53
    117.47      287.61      646.78      359.17
    117.90      288.81      647.63      358.81
    118.34      290.02      648.47      358.45
    118.78      291.22      649.31      358.09
    119.21      292.42      650.15      357.73
    119.65      293.63      650.99      357.36
    120.09      294.83      651.82      356.99
    120.52      296.03      652.66      356.62
    120.96      297.23      653.49      356.25
    121.40      298.43      654.32      355.88
    121.83      299.64      655.15      355.51
    122.27      300.84      655.97      355.14
    122.71      302.04      656.80      354.76
    123.14      303.24      657.62      354.38
    123.58      304.44      658.44      354.00
    124.02      305.64      659.26      353.63
    124.45      306.84      660.08      353.24
    124.89      308.03      660.90      352.86
    125.33      309.23      661.71      352.48
    125.76      310.43      662.53      352.10
    126.20      311.63      663.34      351.71
    126.64      312.82      664.15      351.32
    127.07      314.02      664.96      350.94
    127.51      315.22      665.76      350.55
    127.95      316.41      666.57      350.16
    128.38      317.60      667.37      349.77
    128.82      318.80      668.17      349.38
    129.26      319.99      668.97      348.98
    129.69      321.18      669.77      348.59
    130.13      322.37      670.57      348.19
    130.57      323.57      671.37      347.80
    131.00      324.76      672.16      347.40
    131.44      325.95      672.95      347.01
    131.88      327.13      673.74      346.61
    132.31      328.32      674.53      346.21
    132.75      329.51      675.32      345.81
    133.19      330.70      676.11      345.41
    133.62      331.88      676.89      345.01
    134.06      333.07      677.68      344.61
    134.50      334.25      678.46      344.20
    134.93      335.44      679.24      343.80
    135.37      336.62      680.02      343.40
    135.81      337.80      680.79      342.99
    136.24      338.98      681.57      342.59
    136.68      340.16      682.34      342.18
    137.12      341.34      683.12      341.77
    137.55      342.52      683.89      341.37
    137.99      343.70      684.66      340.96
    138.43      344.88      685.43      340.55
    138.86      346.05      686.20      340.14
    139.30      347.23      686.96      339.73
    139.74      348.40      687.73      339.32
    140.17      349.58      688.49      338.91
    140.61      350.75      689.25      338.50
    141.05      351.92      690.01      338.09
    141.48      353.09      690.77      337.68
    141.92      354.26      691.53      337.27
    142.36      355.43      692.28      336.85
    142.79      356.60      693.04      336.44
    143.23      357.76      693.79      336.03
    143.67      358.93      694.54      335.61
    144.10      360.09      695.29      335.20
    144.54      361.26      696.04      334.79
    144.98      362.42      696.79      334.37
    145.41      363.58      697.54      333.96
    145.85      364.74      698.28      333.54
    146.29      365.90      699.03      333.12
    146.72      367.06      699.77      332.71
    147.16      368.22      700.51      332.29
    147.60      369.38      701.25      331.87
    148.03      370.53      701.99      331.46
    148.47      371.69      702.73      331.04
    148.91      372.84      703.46      330.62
    149.34      373.99      704.20      330.21
    149.78      375.14      704.93      329.79
