Czas (s),Temperatura w osi (C),Temperatura na powierzchni (C),Roznica dT (C)
4.9746,100.0000,234.2194,134.2194
4.9868,100.0000,234.3741,134.3741
4.9989,100.0000,234.5285,134.5285
5.0110,100.0000,234.6828,134.6828
5.0232,100.0000,234.8368,134.8368
5.0353,100.0000,234.9906,134.9906
5.0474,100.0000,235.1442,135.1442
5.0596,100.0000,235.2976,135.2976
5.0717,100.0000,235.4508,135.4508
5.0838,100.0000,235.6038,135.6038
5.0960,100.0000,235.7566,135.7566
5.1081,100.0000,235.9092,135.9092
5.1202,100.0000,236.0616,136.0616
5.1324,100.0000,236.2138,136.2138
5.1445,100.0000,236.3658,136.3658
5.1566,100.0000,236.5176,136.5176
5.1688,100.0000,236.6692,136.6692
5.1809,100.0000,236.8206,136.8206
5.1930,100.0000,236.9718,136.9718
5.2052,100.0000,237.1228,137.1228
5.2173,100.0000,237.2736,137.2736
5.2294,100.0000,237.4242,137.4242
5.2416,100.0000,237.5746,137.5746
5.2537,100.0000,237.7248,137.7248
5.2658,100.0000,237.8749,137.8749
5.2780,100.0000,238.0247,138.0247
5.2901,100.0000,238.1743,138.1743
5.3022,100.0000,238.3238,138.3238
5.3144,100.0000,238.4731,138.4731
5.3265,100.0000,238.6221,138.6221
5.3386,100.0000,238.7710,138.7710
5.3508,100.0000,238.9197,138.9197
5.3629,100.0000,239.0682,139.0682
5.3750,100.0000,239.2166,139.2166
5.3872,100.0000,239.3647,139.3647
5.3993,100.0000,239.5127,139.5127
5.4114,100.0000,239.6604,139.6604
5.4236,100.0000,239.8080,139.8080
5.4357,100.0000,239.9554,139.9554
5.4478,100.0000,240.1026,140.1026
5.4600,100.0000,240.2497,140.2497
5.4721,100.0000,240.3965,140.3965
5.4842,100.0000,240.5432,140.5432
5.4964,100.0000,240.6897,140.6897
5.5085,100.0000,240.8360,140.8360
5.5206,100.0000,240.9821,140.9821
5.5328,100.0000,241.1281,141.1281
5.5449,100.0000,241.2738,141.2738
5.5570,100.0000,241.4194,141.4194
5.5692,100.0000,241.5648,141.5648
5.5813,100.0000,241.7101,141.7101
5.5934,100.0000,241.8551,141.8551
5.6056,100.0000,242.0000,142.0000
5.6177,100.0000,242.1447,142.1447
5.6298,100.0000,242.2893,142.2893
5.6420,100.0000,242.4336,142.4336
5.6541,100.0000,242.5778,142.5778
5.6662,100.0000,242.7219,142.7219
5.6784,100.0000,242.8657,142.8657
5.6905,100.0000,243.0094,143.0094
5.7026,100.0000,243.1529,143.1529
5.7148,100.0000,243.2962,143.2962
5.7269,100.0000,243.4394,143.4394
5.7390,100.0000,243.5824,143.5824
5.7512,100.0000,243.7252,143.7252
5.7633,100.0000,243.8679,143.8679
5.7754,100.0000,244.0104,144.0104
5.7876,100.0000,244.1527,144.1527
5.7997,100.0000,244.2948,144.2948
5.8118,100.0000,244.4368,144.4368
5.8240,100.0000,244.5787,144.5787
5.8361,100.0000,244.7203,144.7203
5.8482,100.0000,244.8618,144.8618
5.8604,100.0000,245.0031,145.0031
5.8725,100.0000,245.1443,145.1443
5.8846,100.0000,245.2853,145.2853
5.8968,100.0000,245.4262,145.4262
5.9089,100.0000,245.5668,145.5668
5.9210,100.0000,245.7074,145.7074
5.9332,100.0000,245.8477,145.8477
5.9453,100.0000,245.9879,145.9879
5.9574,100.0000,246.1280,146.1280
5.9696,100.0000,246.2678,146.2678
5.9817,100.0000,246.4076,146.4076
5.9938,100.0000,246.5471,146.5471
6.0060,100.0000,246.6865,146.6865
6.0181,100.0000,246.8258,146.8258
6.0302,100.0000,246.9648,146.9648
6.0424,100.0000,247.1038,147.1038
6.0545,100.0000,247.2426,147.2426
6.0666,100.0000,247.3812,147.3812
6.0788,100.0000,247.5196,147.5196
6.0909,100.0000,247.6579,147.6579
6.1030,100.0000,247.7961,147.7961
6.1152,100.0000,247.9341,147.9341
6.1273,100.0000,248.0720,148.0720
6.1394,100.0000,248.2096,148.2096
6.1516,100.0000,248.3472,148.3472
6.1637,100.0000,248.4846,148.4846
6.1758,100.0000,248.6218,148.6218
6.1880,100.0000,248.7589,148.7589
6.2001,100.0000,248.8958,148.8958
6.2122,100.0000,249.0326,149.0326
6.2244,100.0000,249.1693,149.1693
6.2365,100.0000,249.3058,149.3058
6.2486,100.0000,249.4421,149.4421
6.2608,100.0000,249.5783,149.5783
6.2729,100.0000,249.7143,149.7143
6.2850,100.0000,249.8502,149.8502
6.2972,100.0000,249.9860,149.9860
6.3093,100.0000,250.1216,150.1216
6.3214,100.0000,250.2570,150.2570
6.3336,100.0000,250.3923,150.3923
6.3457,100.0000,250.5275,150.5275
6.3578,100.0000,250.6625,150.6625
6.3700,100.0000,250.7974,150.7974
6.3821,100.0000,250.9321,150.9321
6.3942,100.0000,251.0667,151.0667
6.4064,100.0000,251.2012,151.2012
6.4185,100.0000,251.3355,151.3355
6.4306,100.0000,251.4696,151.4696
6.4428,100.0000,251.6036,151.6036
6.4549,100.0000,251.7375,151.7375
6.4670,100.0000,251.8712,151.8712
6.4792,100.0000,252.0048,152.0048
6.4913,100.0000,252.1383,152.1383
6.5034,100.0000,252.2716,152.2716
6.5156,100.0000,252.4048,152.4048
6.5277,100.0000,252.5378,152.5378
6.5398,100.0000,252.6707,152.6707
6.5520,100.0000,252.8034,152.8034
6.5641,100.0000,252.9361,152.9361
6.5762,100.0000,253.0685,153.0685
6.5884,100.0000,253.2009,153.2009
6.6005,100.0000,253.3331,153.3331
6.6126,100.0000,253.4651,153.4651
6.6248,100.0000,253.5971,153.5971
6.6369,100.0000,253.7289,153.7289
6.6490,100.0000,253.8605,153.8605
6.6612,100.0000,253.9921,153.9921
6.6733,100.0000,254.1235,154.1235
6.6854,100.0000,254.2547,154.2547
6.6976,100.0000,254.3858,154.3858
6.7097,100.0000,254.5168,154.5168
6.7218,100.0000,254.6477,154.6477
6.7340,100.0000,254.7784,154.7784
6.7461,100.0000,254.9090,154.9090
6.7582,100.0000,255.0394,155.0394
6.7704,100.0000,255.1698,155.1698
6.7825,100.0000,255.3000,155.3000
6.7946,100.0000,255.4300,155.4300
6.8068,100.0000,255.5600,155.5600
6.8189,100.0000,255.6898,155.6898
6.8310,100.0000,255.8194,155.8194
6.8432,100.0000,255.9490,155.9490
6.8553,100.0000,256.0784,156.0784
6.8674,100.0000,256.2077,156.2077
6.8796,100.0000,256.3368,156.3368
6.8917,100.0000,256.4659,156.4659
6.9038,100.0000,256.5948,156.5948
6.9160,100.0000,256.7235,156.7235
6.9281,100.0000,256.8522,156.8522
6.9402,100.0000,256.9807,156.9807
6.9524,100.0000,257.1091,157.1091
6.9645,100.0000,257.2373,157.2373
6.9766,100.0000,257.3655,157.3655
6.9888,100.0000,257.4935,157.4935
7.0009,100.0000,257.6214,157.6214
7.0130,100.0000,257.7491,157.7491
7.0252,100.0000,257.8768,157.8768
7.0373,100.0000,258.0043,158.0043
7.0494,100.0000,258.1317,158.1317
7.0616,100.0000,258.2589,158.2589
7.0737,100.0000,258.3861,158.3861
7.0858,100.0000,258.5131,158.5131
7.0980,100.0000,258.6400,158.6400
7.1101,100.0000,258.7668,158.7668
7.1222,100.0000,258.8934,158.8934
7.1344,100.0000,259.0200,159.0200
7.1465,100.0000,259.1464,159.1464
7.1586,100.0000,259.2727,159.2727
7.1708,100.0000,259.3988,159.3988
7.1829,100.0000,259.5249,159.5249
7.1950,100.0000,259.6508,159.6508
7.2072,100.0000,259.7766,159.7766
7.2193,100.0000,259.9023,159.9023
7.2314,100.0000,260.0279,160.0279
7.2436,100.0000,260.1533,160.1533
7.2557,100.0000,260.2786,160.2786
7.2678,100.0000,260.4039,160.4039
7.2800,100.0000,260.5289,160.5289
7.2921,100.0000,260.6539,160.6539
7.3042,100.0000,260.7788,160.7788
7.3164,100.0000,260.9035,160.9035
7.3285,100.0000,261.0281,161.0281
7.3406,100.0000,261.1527,161.1527
7.3528,100.0000,261.2770,161.2770
7.3649,100.0000,261.4013,161.4013
7.3770,100.0000,261.5255,161.5255
7.3892,100.0000,261.6495,161.6495
7.4013,100.0000,261.7735,161.7735
7.4134,100.0000,261.8973,161.8973
7.4256,100.0000,262.0210,162.0210
7.4377,100.0000,262.1446,162.1446
7.4498,100.0000,262.2680,162.2680
7.4620,100.0000,262.3914,162.3914
7.4741,100.0000,262.5146,162.5146
7.4862,100.0000,262.6378,162.6378
7.4984,100.0000,262.7608,162.7608
7.5105,100.0000,262.8837,162.8837
7.5226,100.0000,263.0065,163.0065
7.5348,100.0000,263.1292,163.1292
7.5469,100.0000,263.2517,163.2517
7.5590,100.0000,263.3742,163.3742
7.5712,100.0000,263.4965,163.4965
7.5833,100.0000,263.6188,163.6188
7.5954,100.0000,263.7409,163.7409
7.6076,100.0000,263.8629,163.8629
7.6197,100.0000,263.9848,163.9848
7.6318,100.0000,264.1066,164.1066
7.6440,100.0000,264.2283,164.2283
7.6561,100.0000,264.3499,164.3499
7.6682,100.0000,264.4713,164.4713
7.6804,100.0000,264.5927,164.5927
7.6925,100.0000,264.7139,164.7139
7.7046,100.0000,264.8351,164.8351
7.7168,100.0000,264.9561,164.9561
7.7289,100.0000,265.0770,165.0770
7.7410,100.0000,265.1979,165.1978
7.7532,100.0000,265.3186,165.3186
7.7653,100.0000,265.4392,165.4392
7.7774,100.0000,265.5597,165.5597
7.7896,100.0000,265.6800,165.6800
7.8017,100.0000,265.8003,165.8003
7.8138,100.0000,265.9205,165.9205
7.8260,100.0000,266.0406,166.0406
7.8381,100.0000,266.1605,166.1605
7.8502,100.0000,266.2804,166.2804
7.8624,100.0000,266.4002,166.4002
7.8745,100.0000,266.5198,166.5198
7.8866,100.0000,266.6394,166.6394
7.8988,100.0000,266.7588,166.7588
7.9109,100.0000,266.8781,166.8781
7.9230,100.0000,266.9974,166.9974
7.9352,100.0000,267.1165,167.1165
7.9473,100.0000,267.2355,167.2355
7.9594,100.0000,267.3544,167.3544
7.9716,100.0000,267.4733,167.4733
7.9837,100.0000,267.5920,167.5920
7.9958,100.0000,267.7106,167.7106
8.0080,100.0000,267.8291,167.8291
8.0201,100.0000,267.9475,167.9475
8.0322,100.0000,268.0658,168.0658
8.0444,100.0000,268.1840,168.1840
8.0565,100.0000,268.3022,168.3021
8.0686,100.0000,268.4202,168.4202
8.0808,100.0000,268.5381,168.5381
8.0929,100.0000,268.6559,168.6559
8.1050,100.0000,268.7736,168.7736
8.1172,100.0000,268.8912,168.8912
8.1293,100.0000,269.0087,169.0087
8.1414,100.0000,269.1261,169.1261
8.1536,100.0000,269.2434,169.2434
8.1657,100.0000,269.3606,169.3606
8.1778,100.0000,269.4777,169.4777
8.1900,100.0000,269.5947,169.5947
8.2021,100.0000,269.7116,169.7116
8.2142,100.0000,269.8284,169.8284
8.2264,100.0000,269.9451,169.9451
8.2385,100.0000,270.0618,170.0618
8.2506,100.0000,270.1783,170.1783
8.2628,100.0000,270.2947,170.2947
8.2749,100.0000,270.4110,170.4110
8.2870,100.0000,270.5273,170.5272
8.2992,100.0000,270.6434,170.6434
8.3113,100.0000,270.7594,170.7594
8.3234,100.0000,270.8754,170.8753
8.3356,100.0000,270.9912,170.9912
8.3477,100.0000,271.1069,171.1069
8.3598,100.0000,271.2226,171.2226
8.3720,100.0000,271.3381,171.3381
8.3841,100.0000,271.4536,171.4536
8.3962,100.0000,271.5690,171.5690
